Country Name,Country Code,Indicator Name,Indicator Code,2019
Aruba,ABW,"Population, total",SP.POP.TOTL,106442
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,667242712
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37769499
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,454306063
Angola,AGO,"Population, total",SP.POP.TOTL,32353588
Albania,ALB,"Population, total",SP.POP.TOTL,2854191
Andorra,AND,"Population, total",SP.POP.TOTL,76343
Arab World,ARB,"Population, total",SP.POP.TOTL,441467739
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9211657
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712
Armenia,ARM,"Population, total",SP.POP.TOTL,2820602
American Samoa,ASM,"Population, total",SP.POP.TOTL,47321
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92117
Australia,AUS,"Population, total",SP.POP.TOTL,25340217
Austria,AUT,"Population, total",SP.POP.TOTL,8879920
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10024283
Burundi,BDI,"Population, total",SP.POP.TOTL,11874838
Belgium,BEL,"Population, total",SP.POP.TOTL,11488980
Benin,BEN,"Population, total",SP.POP.TOTL,12290444
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20951639
Bangladesh,BGD,"Population, total",SP.POP.TOTL,165516222
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6975761
Bahrain,BHR,"Population, total",SP.POP.TOTL,1494188
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,404557
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3360711
Belarus,BLR,"Population, total",SP.POP.TOTL,9419758
Belize,BLZ,"Population, total",SP.POP.TOTL,389095
Bermuda,BMU,"Population, total",SP.POP.TOTL,63911
Bolivia,BOL,"Population, total",SP.POP.TOTL,11777315
Brazil,BRA,"Population, total",SP.POP.TOTL,211782878
Barbados,BRB,"Population, total",SP.POP.TOTL,280180
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,438048
Bhutan,BTN,"Population, total",SP.POP.TOTL,767459
Botswana,BWA,"Population, total",SP.POP.TOTL,2499702
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5209324
Canada,CAN,"Population, total",SP.POP.TOTL,37601230
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102398537
Switzerland,CHE,"Population, total",SP.POP.TOTL,8575280
Channel Islands,CHI,"Population, total",SP.POP.TOTL,169410
Chile,CHL,"Population, total",SP.POP.TOTL,19039485
China,CHN,"Population, total",SP.POP.TOTL,1407745000
Cote D'ivoire,CIV,"Population, total",SP.POP.TOTL,26147551
Cameroon,CMR,"Population, total",SP.POP.TOTL,25782341
DR of Congo,COD,"Population, total",SP.POP.TOTL,89906890
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5570733
Colombia,COL,"Population, total",SP.POP.TOTL,50187406
Comoros,COM,"Population, total",SP.POP.TOTL,790986
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,577030
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5084532
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7424102
Cuba,CUB,"Population, total",SP.POP.TOTL,11316697
Curacao,CUW,"Population, total",SP.POP.TOTL,157441
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,66134
Cyprus,CYP,"Population, total",SP.POP.TOTL,1228836
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10671870
Germany,DEU,"Population, total",SP.POP.TOTL,83092962
Djibouti,DJI,"Population, total",SP.POP.TOTL,1073994
Dominica,DMA,"Population, total",SP.POP.TOTL,71428
Denmark,DNK,"Population, total",SP.POP.TOTL,5814422
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10881882
Algeria,DZA,"Population, total",SP.POP.TOTL,42705368
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2106439246
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3335463995
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2353862247
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,399592320
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,921179725
Ecuador,ECU,"Population, total",SP.POP.TOTL,17343740
Egypt,EGY,"Population, total",SP.POP.TOTL,105618671
Euro area,EMU,"Population, total",SP.POP.TOTL,342452734
Eritrea,ERI,"Population, total",SP.POP.TOTL,3498818
Spain,ESP,"Population, total",SP.POP.TOTL,47134837
Estonia,EST,"Population, total",SP.POP.TOTL,1326898
Ethiopia,ETH,"Population, total",SP.POP.TOTL,114120594
European Union,EUU,"Population, total",SP.POP.TOTL,447367191
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,957446713
Finland,FIN,"Population, total",SP.POP.TOTL,5521606
Fiji,FJI,"Population, total",SP.POP.TOTL,918465
France,FRA,"Population, total",SP.POP.TOTL,67388001
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,51681
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,111379
Gabon,GAB,"Population, total",SP.POP.TOTL,2242785
United Kingdom of Great Britain & Northern Ireland,GBR,"Population, total",SP.POP.TOTL,66836327
Georgia,GEO,"Population, total",SP.POP.TOTL,3720161
Ghana,GHA,"Population, total",SP.POP.TOTL,31522290
Gibraltar,GIB,"Population, total",SP.POP.TOTL,32685
Guinea,GIN,"Population, total",SP.POP.TOTL,12877539
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2508883
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1970457
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1553031
Greece,GRC,"Population, total",SP.POP.TOTL,10721582
Grenada,GRD,"Population, total",SP.POP.TOTL,122724
Greenland,GRL,"Population, total",SP.POP.TOTL,56225
Guatemala,GTM,"Population, total",SP.POP.TOTL,16604026
Guam,GUM,"Population, total",SP.POP.TOTL,168624
Guyana,GUY,"Population, total",SP.POP.TOTL,798753
High income,HIC,"Population, total",SP.POP.TOTL,1235869243
Hong Kong,HKG,"Population, total",SP.POP.TOTL,7507900
Honduras,HND,"Population, total",SP.POP.TOTL,9958829
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,815100831
Croatia,HRV,"Population, total",SP.POP.TOTL,4065253
Haiti,HTI,"Population, total",SP.POP.TOTL,11160438
Hungary,HUN,"Population, total",SP.POP.TOTL,9771141
IBRD only,IBD,"Population, total",SP.POP.TOTL,4855633857
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6554880269
IDA total,IDA,"Population, total",SP.POP.TOTL,1699246412
IDA blend,IDB,"Population, total",SP.POP.TOTL,570633332
Indonesia,IDN,"Population, total",SP.POP.TOTL,269582878
IDA only,IDX,"Population, total",SP.POP.TOTL,1128613080
Isle of Man,IMN,"Population, total",SP.POP.TOTL,83933
India,IND,"Population, total",SP.POP.TOTL,1383112050
Not classified,INX,"Population, total",SP.POP.TOTL,
Ireland,IRL,"Population, total",SP.POP.TOTL,4934340
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,86564202
Iraq,IRQ,"Population, total",SP.POP.TOTL,41563520
Iceland,ISL,"Population, total",SP.POP.TOTL,360563
Israel,ISR,"Population, total",SP.POP.TOTL,9054000
Italy,ITA,"Population, total",SP.POP.TOTL,59729081
Jamaica,JAM,"Population, total",SP.POP.TOTL,2813773
Jordan,JOR,"Population, total",SP.POP.TOTL,10698683
Japan,JPN,"Population, total",SP.POP.TOTL,126633000
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18513673
Kenya,KEN,"Population, total",SP.POP.TOTL,50951450
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6456200
Cambodia,KHM,"Population, total",SP.POP.TOTL,16207746
Kiribati,KIR,"Population, total",SP.POP.TOTL,124241
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,47712
South Korea,KOR,"Population, total",SP.POP.TOTL,51764822
Kuwait,KWT,"Population, total",SP.POP.TOTL,4441100
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,583500375
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7212053
Lebanon,LBN,"Population, total",SP.POP.TOTL,5781907
Liberia,LBR,"Population, total",SP.POP.TOTL,4985289
Libya,LBY,"Population, total",SP.POP.TOTL,6569088
St. Lucia,LCA,"Population, total",SP.POP.TOTL,178583
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,645295804
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1048193552
Low income,LIC,"Population, total",SP.POP.TOTL,680013468
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38482
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21803000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,3313903477
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6477841008
Lesotho,LSO,"Population, total",SP.POP.TOTL,2225702
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2309491520
Lithuania,LTU,"Population, total",SP.POP.TOTL,2794137
Luxembourg,LUX,"Population, total",SP.POP.TOTL,620001
Latvia,LVA,"Population, total",SP.POP.TOTL,1913822
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,663653
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,33121
Morocco,MAR,"Population, total",SP.POP.TOTL,36304408
Monaco,MCO,"Population, total",SP.POP.TOTL,37034
Moldova,MDA,"Population, total",SP.POP.TOTL,2664224
Madagascar,MDG,"Population, total",SP.POP.TOTL,27533134
Maldives,MDV,"Population, total",SP.POP.TOTL,504508
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,473201775
Mexico,MEX,"Population, total",SP.POP.TOTL,125085311
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,44728
Middle income,MIC,"Population, total",SP.POP.TOTL,5797827540
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2076694
Mali,MLI,"Population, total",SP.POP.TOTL,20567424
Malta,MLT,"Population, total",SP.POP.TOTL,504062
Myanmar,MMR,"Population, total",SP.POP.TOTL,53040212
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,405259403
Montenegro,MNE,"Population, total",SP.POP.TOTL,622028
Mongolia,MNG,"Population, total",SP.POP.TOTL,3232430
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,49858
Mozambique,MOZ,"Population, total",SP.POP.TOTL,30285595
Mauritania,MRT,"Population, total",SP.POP.TOTL,4383849
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265711
Malawi,MWI,"Population, total",SP.POP.TOTL,18867337
Malaysia,MYS,"Population, total",SP.POP.TOTL,32804020
North America,NAC,"Population, total",SP.POP.TOTL,365995094
Namibia,NAM,"Population, total",SP.POP.TOTL,2446644
New Caledonia,NCL,"Population, total",SP.POP.TOTL,271230
Niger,NER,"Population, total",SP.POP.TOTL,23443393
Nigeria,NGA,"Population, total",SP.POP.TOTL,203304492
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6663924
Netherlands,NLD,"Population, total",SP.POP.TOTL,17344874
Norway,NOR,"Population, total",SP.POP.TOTL,5347896
Nepal,NPL,"Population, total",SP.POP.TOTL,28832496
Nauru,NRU,"Population, total",SP.POP.TOTL,12132
New Zealand,NZL,"Population, total",SP.POP.TOTL,4979200
OECD members,OED,"Population, total",SP.POP.TOTL,1362922537
Oman,OMN,"Population, total",SP.POP.TOTL,4602768
Other small states,OSS,"Population, total",SP.POP.TOTL,32005203
Pakistan,PAK,"Population, total",SP.POP.TOTL,223293280
Panama,PAN,"Population, total",SP.POP.TOTL,4232532
Peru,PER,"Population, total",SP.POP.TOTL,32824861
Philippines,PHL,"Population, total",SP.POP.TOTL,110380804
Palau,PLW,"Population, total",SP.POP.TOTL,17916
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,9542486
Poland,POL,"Population, total",SP.POP.TOTL,37965475
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,957503246
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3193694
Korea,PRK,"Population, total",SP.POP.TOTL,25755441
Portugal,PRT,"Population, total",SP.POP.TOTL,10286263
Paraguay,PRY,"Population, total",SP.POP.TOTL,6530026
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4685306
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2536070
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1113310738
French Polynesia,PYF,"Population, total",SP.POP.TOTL,299717
Qatar,QAT,"Population, total",SP.POP.TOTL,2807235
Romania,ROU,"Population, total",SP.POP.TOTL,19371648
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144406261
Rwanda,RWA,"Population, total",SP.POP.TOTL,12835028
South Asia,SAS,"Population, total",SP.POP.TOTL,1861598514
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,35827362
Sudan,SDN,"Population, total",SP.POP.TOTL,43232093
Senegal,SEN,"Population, total",SP.POP.TOTL,16000781
Singapore,SGP,"Population, total",SP.POP.TOTL,5703569
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,674993
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,8046828
El Salvador,SLV,"Population, total",SP.POP.TOTL,6280217
San Marino,SMR,"Population, total",SP.POP.TOTL,34178
Somalia,SOM,"Population, total",SP.POP.TOTL,15981300
Serbia,SRB,"Population, total",SP.POP.TOTL,6945235
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1121451150
South Sudan,SSD,"Population, total",SP.POP.TOTL,10447666
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1121548775
Small states,SST,"Population, total",SP.POP.TOTL,41965375
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,214599
Suriname,SUR,"Population, total",SP.POP.TOTL,600301
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5454147
Slovenia,SVN,"Population, total",SP.POP.TOTL,2088385
Sweden,SWE,"Population, total",SP.POP.TOTL,10278887
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1169613
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,41608
Seychelles,SYC,"Population, total",SP.POP.TOTL,97625
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,20098251
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,43080
Chad,TCD,"Population, total",SP.POP.TOTL,16126866
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2080648616
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,460994696
Togo,TGO,"Population, total",SP.POP.TOTL,8243094
Thailand,THA,"Population, total",SP.POP.TOTL,71307763
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9337003
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6158420
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,629515571
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1280438
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,400574097
Tonga,TON,"Population, total",SP.POP.TOTL,104951
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1861598514
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1121548775
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1519955
Tunisia,TUN,"Population, total",SP.POP.TOTL,12049314
Turkiye,TUR,"Population, total",SP.POP.TOTL,83481684
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10956
Tanzania,TZA,"Population, total",SP.POP.TOTL,59872579
Uganda,UGA,"Population, total",SP.POP.TOTL,42949080
Ukraine,UKR,"Population, total",SP.POP.TOTL,44386203
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2483924063
Uruguay,URY,"Population, total",SP.POP.TOTL,3428409
United States of America,USA,"Population, total",SP.POP.TOTL,328329953
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,33580350
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,104924
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28971683
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30610
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106669
Vietnam,VNM,"Population, total",SP.POP.TOTL,95776716
Vanuatu,VUT,"Population, total",SP.POP.TOTL,304404
World,WLD,"Population, total",SP.POP.TOTL,7742681934
Samoa,WSM,"Population, total",SP.POP.TOTL,211905
Kosovo,XKX,"Population, total",SP.POP.TOTL,1788878
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,31546691
South Africa,ZAF,"Population, total",SP.POP.TOTL,58087055
Zambia,ZMB,"Population, total",SP.POP.TOTL,18380477
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,15354608
