Company name,ID,Category,Sector (EMF input),2021 total weight of new packaging (metric tonnes),high,mean,low,mass
Ahold Delhaize,q20539261,Retailers,Retail,"159,189",3.53899309179939e-05,1.33854070428395e-05,0,159189
Apple,q312,Packaged goods companies,other,"9,200",3.55379765657527e-05,1.77465887965204e-05,0,9200
Beiersdorf AG Consumer Business,q201691,Packaged goods companies,household and personal care,"68,974",0.000621225132814233,0.000380161371691631,0.000197273536804025,68974
Clif Bar & Company,q5132493,Packaged goods companies,food,"1,584",0.00139079397620472,0.000755891689387634,0.000273567108491336,1584
Colgate-Palmolive Company,q609466,Packaged goods companies,household and personal care,"278,539",0.00412417113358057,0.00308351203907752,0.0020287866834097,278539
Danone S.A.,q329426,Packaged goods companies,food,"733,494",0.0328443451710894,0.0282735007556755,0.024473084025934,733494
Diageo,q161140,Packaged goods companies,beverages,"40,009",0.00147199514215737,0.00102860535758386,0.00064592975007139,40009
Ferrero,q269792,Packaged goods companies,food,"115,600",0.00556979552341068,0.00445891536283826,0.00373355216503814,115600
FrieslandCampina Nederland B.V.,q248711,Packaged goods companies,food,"47,924",0.00153441707685948,0.00109910558672419,0.000702954487310106,47924
H&M Group,q64023431,Retailers,"Apparel, footwear & accessories","15,770",3.2413641829709e-05,1.27168814139688e-05,2.92583270844256e-06,15770
Henkel AG & Co. KGaA,q276507,Packaged goods companies,household and personal care,"341,000",7.39109922124339e-05,4.45353700857543e-05,1.12842473857948e-05,341000
Johnson & Johnson Consumer Health,q333718,Packaged goods companies,household and personal care,"125,000",0.00148376151451694,0.00102965840747816,0.000586087620391286,125000
Kellogg Company,q856897,Packaged goods companies,food,"64,407",0.00320989082761114,0.00238654569519491,0.00186367585520778,64407
Keurig Dr Pepper,q1691896,Packaged goods companies,beverages,"243,000",0.00598878643203205,0.00388677350146546,0.00264073113509104,243000
Loreal,q156077,Packaged goods companies,cosmetics,"144,430",0.000467879561868285,0.000321426923532502,0.000185856484347418,144430
"Mars, Incorporated",q695087,Packaged goods companies,food,"204,014",0.0133712358283711,0.0111320809304466,0.00949218748479484,204014
McCain Foods,q944414,Packaged goods companies,food,"27,496",3.47960631734126e-07,1.15986877244709e-07,0,27496
McCormick & Company Inc.,q1915049,Packaged goods companies,food,"42,481",6.07453693425856e-05,3.86165519389822e-05,1.5275388580002e-05,42481
Molson Coors Brewing Company,q3319685,Packaged goods companies,beverages,"22,119",0.00158705253463352,0.000812632949836422,0.000306718159468565,22119
Mondelez International,q12857502,Packaged goods companies,food,"197,800",0.0137067700118721,0.0123616093450113,0.0109127096123538,197800
Loreal,q160746,Packaged goods companies,food,"920,000",0.035921109315279,0.0313998027015262,0.0261171298460366,920000
PepsiCo,q334800,Packaged goods companies,beverages,"2,500,000",0.0530357356795246,0.0479845055887766,0.0436444700747389,2500000
Pernod Ricard,q837049,Packaged goods companies,beverages,"3,980",0.000153098100462179,4.53462459770079e-05,3.27394786357262e-06,3980
Reckitt,q1190881,Packaged goods companies,household and personal care,"198,927",0.00101832939255489,0.000768319769764669,0.000541843566363561,198927
SC Johnson,q683170,Packaged goods companies,household and personal care,"91,271",0.00134961824855683,0.000912542961114798,0.000558884673731878,91271
Schwarz Group (Lidl & Kaufland),q712034,Retailers,Retail,"710,068",0.00186081644287605,0.00140287838712481,0.000914512289070499,710068
SONAE MC,q2035375,Retailers,Retail,"22,218",0.000224386657300207,9.28257148923301e-05,0,22218
Starbucks Coffee Company,q37158,Retailers,Retail,"150,834",0.00975355378506336,0.00727158455273052,0.00549458147132703,150834
Target Corporation,q1046951,Retailers,Retail,"53,595",0.000607679509764909,0.000375578959637786,0.000202777746970083,53595
The Clorox Company,q910368,Packaged goods companies,household and personal care,"102,485",0.000180960357851895,0.000118699859271009,5.46370701890188e-05,102485
The Coca-Cola Company,q3295867,Packaged goods companies,beverages,"3,224,395",0.12036227124406,0.112606094893358,0.102433241622034,3224395
Unilever,q157062,Packaged goods companies,household and personal care,"713,000",0.0177328095552154,0.0151357231217997,0.0128899374162222,713000
Walmart Inc.,q483551,Retailers,Retail,"1,115,249",0.00412785695873317,0.00289544878275286,0.00202334523764321,1115249
Woolworths Holdings Limited,q958479,Retailers,Retail,"22,084",3.52669413569543e-06,1.17556471189848e-06,0,22084
